DOI	Affiliations
10.1007/s10273-015-1872-1	Institut für Gerontologie (IfG), Universität Vechta, Driverstrasse 23, Vechta, 49377, Germany; Agrarökonomie und Rurale Entwicklung, Georg-Augustin Universität Göttingen, Platz der Göttinger Sieben 5, Göttingen, 37073, Germany; Institut für Verkehrswissenschaft, Westfälische Wilhelms-Universität Münster, Am Stadtgraben 9, Münster, 48143, Germany; Wuppertal Inst. für Klima, Umwelt, Energie, Döppersberg 19, Wuppertal, 42103, Germany
10.3109/1061186X.2015.1076428	Biointerfaces Institute, University of Michigan, NCRC, 2800 Plymouth Road, Ann Arbor, MI  48109, United States; Biomedical Engineering, University of Michigan, Ann Arbor, MI, United States; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Germany; Department of Pharmacology, University of Pennsylvania, Philadelphia, PA, United States; Department of Chemical Engineering, University of Michigan, Ann Arbor, MI, United States
10.1063/1.4930141	Empa, Swiss Federal Laboratories for Materials Science and Technology, Feuerwerkerstrasse 39, Thun, CH-3602, Switzerland; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Preparative Macromolecular Chemistry, Institute for Chemical Technology and Polymer Chemistry (ICTP), Karlsruhe Institute of Technology (KIT), Engesserstrasse 18, Karlsruhe, 76128, Germany; Institute for Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Herrmann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Applied Materials (IAM), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1007/s10008-015-2862-3	Instituto de Química e Biotecnologia (IQB), Universidade Federal de Alagoas (UFAL), Campus A. C. Simões, Avenida Lourival Melo Mota, s/n, Tabuleiro dos Martins, 57072-970, Maceió, AL, Brazil; Instituto Federal de Educação, Ciência e Tecnologia de Alagoas, IFAL, Maceió, AL  57020-600, Brazil; Instituto Federal de Educação, Ciência e Tecnologia de Goiás, IFG, Uruaçu, GO  76400-000, Brazil; Instituto de Química, UNICAMP, C. Postal 6154, Campinas, SP  13084-971, Brazil; Instituto Nacional de Ciência e Tecnologia de Bioanalítica, UNICAMP, Campinas, SP  13084-971, Brazil
10.1016/j.watres.2015.05.022	Karlsruhe Institute of Technology, Engler-Bunte-Institute, Water Chemistry and Water Technology, Engler-Bunte-Ring 1, Karlsruhe, 76131, Germany; Karlsruhe Institute of Technology, Institute of Functional Interfaces (IFG), Microbiology of Natural and Technical Interfaces Department, Hermann von Helmholtz Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.scitotenv.2015.04.037	School of Engineering and Physical Sciences, Heriot-Watt University, Edinburgh, EH14 4AS, United Kingdom; The Nelson Mandela African Institute of Science and Technology, P.O. Box 447, Tengeru, Arusha, Tanzania; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.colsurfa.2015.05.031	Competence Center for Material Moisture (CMM), Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Institute for Nuclear Waste Disposal (INE), Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Geological Sciences, Department of Earth Sciences, Freie Universität Berlin, Berlin, 14195, Germany
10.1016/j.clay.2015.06.001	Institute of Materials and Machine Mechanics, Slovak Academy of Sciences, Račianska 75, Bratislava, SK-83102, Slovakia; Institute of Inorganic Chemistry, Slovak Academy of Sciences, Dúbravská cesta 9, Bratislava, SK-84536, Slovakia; Comenius University, Faculty of Natural Sciences, Department of Geology of Mineral Deposits, Mlynská dolina, Bratislava, 842 15, Slovakia; Slovak University of Technology, Centre for Nanodiagnostics, Vazovova 5, Bratislava, 812 43, Slovakia; Karlsruhe Institute of Technology, KIT, Institute of Functional Interfaces, IFG, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Slovak University of Technology, Faculty of Chemical and Food Technology, Radlinského 9, Bratislava, SK-81237, Slovakia; Comenius University, Faculty of Natural Sciences, Department of Physical and Theoretical Chemistry, Mlynská dolina CH1, Bratislava, SK-84215, Slovakia
10.1021/acs.jpcc.5b02027	Department of Chemistry, Faculty of Science, University of Zagreb, Horvatovac 102a, Zagreb, 10002, Croatia; Department of Material Physics, Ruder Bošković Institute, Bijenička 54, Zagreb, 10000, Croatia; Institute of Physics, Bijenička 46, Zagreb, Croatia; Department of Inorganic Chemistry, Fritz Haber - Institute of the Max Planck Society, Faradayweg 4-6, Berlin, D-14195, Germany; Institut für Nukleare Entsorgung (INE), Karlsruher Institut für Technologie (KIT), Postfach 3640, Karlsruhe, 76021, Germany; Department of Chemistry, Queens College, City University of New York, Flushing, NY  11367, United States; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany
10.1007/s00391-015-0937-5	Klinik für Geriatrie, Krankenhaus Lindenbrunn, Lindenbrunn 1, Coppenbrügge, 31863, Germany; Insitut für Gerontologie (IfG), Ruprecht-Karls-Universität Heidelberg, Bergheimer Str. 20, Heidelberg, 69115, Germany; Zentrum für Alternskulturen (ZAK), Rheinische Friedrich-Wilhelms-Universität Bonn, Oxfordstr. 15, Bonn, 53113, Germany
10.1021/acs.jpclett.5b01252	Department of Chemical Physics, Lund University, Box 124, Lund, 22100, Sweden; Department of Chemistry, Qena Faculty of Science, South Valley University, Qena, 83523, Egypt; Department of Synchrotron Radiation Instrumentation, Lund University, Box 118, Lund, 22100, Sweden; Deptartment of Solid State Physics, Lund University, Box 118, Lund, 22100, Sweden; MAX IV Laboratory, Lund University, Box 118, Lund, 22100, Sweden; X-ray Science Division, Advanced Photon Source and Materials Science Division, Argonne National Laboratory, Argonne, IL  60439, United States; IFG Structural Dynamics of (Bio)chemical Systems, Max Planck Institute for Biophysical Chemistry, Am Fassberg 11, Goettingen, D-37077, Germany; FS-SCS, Structural Dynamics with Ultra-short Pulsed X-rays, Deutsches Elektronen-Synchrotron (DESY), Notkestrasse 85, Hamburg, D-22607, Germany
10.1109/TLA.2015.7332150	Universidade Federal de Uberlândia (UFU), Uberlândia, Minas Gerais, Brazil; Instituto Federal de Goiás (IFG), Luziânia, Goiás, Brazil; Universidade Federal de Goiás (UFG), Goiânia, Goiás, Brazil; Instituto Federal de Goiás (IFG), Goiânia, Goiás, Brazil
10.1002/polb.23733	Light Technology Institute (LTI), Karlsruhe Institute of Technology (KIT), Kaiserstraße 12, Karlsruhe, 76131, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Kaiserstraße 12, Karlsruhe, 76131, Germany; Institute of Microstructure Technology (IMT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Toxicology and Genetics (ITG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.epsr.2015.02.016	IFG, Coordenação de Eletrotécnica, Itumbiara, GO, Brazil; Laboratório de Máquinas Elétricas, Faculdade de Eng. Elétrica, Universidade Federal de Uberlândia, Campus Santa Mônica, Uberlândia MG, Brazil
10.1039/c5cp03091a	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Soft Matter Synthesis Lab., Institute of Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Institute of Toxicology and Genetics, Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany
10.1021/acs.jpcc.5b03816	Karlsruhe Institute of Technology (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Zyvex Laboratories LLC, Richardson, TX  75081, United States; Department of Materials Science and Engineering, University of Texas at Dallas, 800 West Campbell Road, Richardson, TX  75080, United States; Lehrstuhl für Theoretische Physik, Universität Paderborn, Paderborn, 33098, Germany
10.1002/anie.201502954	Institute of Toxicology and Genetics (ITG), Karlsruhe Institute of Technology (KIT), Karlsruhe, 76344, Germany; Organisch-Chemisches Institut, Ruprecht-Karls-Universität Heidelberg, Heidelberg, 69120, Germany; Institute of Functional Interfaces (IFG), KIT, Germany; Karlsruhe Nano Micro Facility (KNMF), Germany
10.1016/j.micromeso.2015.02.048	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), P.O. Box 3640, Karlsruhe, 76021, Germany; Institute for Applied Computer Science (IAI), Karlsruhe Institute of Technology (KIT), P.O. Box 3640, Karlsruhe, 76021, Germany
10.1021/acs.macromol.5b00923	Preparative Macromolecular Chemistry, Institut für Technische Chemie und Polymerchemie (ITCP), Karlsruhe Institute of Technology (KIT), Engesserstr. 18, Karlsruhe, 76128, Germany; Soft Matter Synthesis Laboratory, Institute for Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Institute for Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Max Planck Institute of Colloids and Interfaces, Potsdam, 14424, Germany; School of Chemistry, Physics and Mechanical Engineering, Queensland University of Technology (QUT), 2 George St., Brisbane, QLD  4001, Australia
10.1021/acsami.5b02642	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1109/TLA.2015.7273798	Instituto Tecnológico de Aeronáutica, São José dos Campos, São Paulo, Brazil; IFG, Goiânia, Goiás, Brazil
10.1016/j.meddro.2015.04.001	Centre européen d'études et de recherche droit and santé, UMR 5815, Université de Montpellier, 39, rue de l'Université, Montpellier, 34060, France; CHRU de Montpellier, Montpellier, 34000, France; Structure fédérative de recherche ASMES, CHRU de Montpellier, Hôpital La Colombière, Pavillon 32, 39, avenue Charles-Flahault, Montpellier cedex 5, 34295, France; IFG-ISCRIMED, EA 7301, Université de Lorraine, Nancy, 54000, France
10.14393/bj-v31n4a2015-26176	Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Goiânia,GO, Brazil; Escola de Agronomia - EA, Universidade Federal de Goiás - UFG, Goiânia,GO, Brazil; Universidade de Brasília - UnB, Brasília,DF, Brazil
10.1016/j.seppur.2015.05.027	School of Engineering and Physical Sciences, Heriot-Watt UniversityEdinburgh  EH14 4AS, United Kingdom; Department of Water Resources Engineering, College of Engineering and Technology, University of Dar es Salaam (UDSM), Tanzania; Water and Environmental Science and Engineering, Nelson Mandela African Institution of Science and Technology (NM-AIST), Arusha, Tanzania; Ngurdoto Defluoridation Research Station (NDRS), P.O. Box 482, Usa River, Tanzania; Engler-Bunte-Institute, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany; Istituto Oikos and Oikos East Africa, Arusha, Tanzania; Institute of Microstructure Technology (IMT), KIT, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), KIT, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1039/c5cp01372k	Karlsruher Institut für Technologie (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Lehrstuhl für Theoretische Chemie, Technische Universität München, Lichtenbergstr. 4, Garching, 85747, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Institute of Organic Chemistry, University Kiel, Otto-Hahn-Platz 4, Kiel, 24118, Germany; Faculty of Science, Department of Chemistry, Ataturk University, Erzurum, 25240, Turkey; Institute of Toxicology and Genetics, Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.materresbull.2015.05.042	Instituto de Química, Universidade Federal de Goiás - UFG, Goiânia, GO  74001-970, Brazil; Instituto Federal de Goiás - IFG, AnápolisGO, Brazil; Departamento de Química, Instituto de Ciências Exatas, Universidade Federal de Minas Gerais - UFMG, Belo Horizonte, MG, Brazil; Instituto de Química, Universidade Estadual de Campinas - UNICAMP, Campinas, SP, Brazil
10.1088/0957-4484/26/5/051001	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Helmholtz Institute Ulm (HIU) Electrochemical Energy Storage, Albert-Einstein-Allee 11, Ulm, 89081, Germany; Karlsruhe Institute of Technology (KIT), Institute of Nanotechnology (INT), Karlsruhe Nano Micro Facility (KNMF), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology, Institute of Inorganic Chemistry, Engesserstr. 15, Geb. 30.45, Karlsruhe, D-76131, Germany
10.1180/claymin.2015.050.3.04	Institute of Geography and Geology, Ernst-Moritz-Arndt University Greifswald, Greifswald, 17487, Germany; Competence Center for Material Moisture (CMM), Institute for Functional Interfaces (IFG), Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany
10.1364/OE.23.013725	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Artificial Photosynthesis, State Key Laboratory of Fine Chemicals, Dalian Institute of Technology (DTU), China
10.4000/bagf.565	L'Institut Français de Géopolitique (IFG), Université Paris 8, France
10.4000/bagf.543	Institut Français de Gépolitique (IFG), Université Paris 8, France
10.1039/c5cc02706c	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Soft Matter Synthesis Lab, Institute of Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, China; Institute of Toxicology and Genetics, Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany
10.1021/acsami.5b01792	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, 76344, Germany; Applied Physical Chemistry, University of Heidelberg, Heidelberg, 69120, Germany; Department of Physics, University of Konstanz, Konstanz, 78457, Germany
10.1007/s12665-015-4192-2	State Key Laboratory of Environmental Criteria and Risk Assessment, Chinese Research Academy of Environmental Sciences, Beijing, 100012, China; Department of Urban Water Environmental Research, Chinese Research Academy of Environmental Sciences, Beijing, 100012, China; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1039/c4ja00461b	Department of Physics, University of Fribourg, Fribourg, 1700, Switzerland; Paul Scherrer Institut, Villigen-PSI, 5232, Switzerland; Physikalisch-Technische Bundesanstalt, Berlin, 10587, Germany; Institute of Physics, Jan Kochanowski University, Kielce, 25-406, Poland; Department of Physics, Kielce University of Technology, Kielce, 25-314, Poland; IfG - Institute for Scientific Instruments GmbH, Berlin, Germany
10.1021/acsnano.5b00483	Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Toxicology and Genetics (ITG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Soft Matter Synthesis Lab, Institute for Biological Interfaces (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany
10.1038/ncomms7901	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Karlsruhe, 76021, Germany; Fritz Haber Institute of the Max Planck Society, Faradayweg 4-6, Berlin, 14195, Germany; COMP/Department of Applied Physics, Aalto University School of Science, P.O. Box 11100, Aalto, FI-00076, Finland
10.1371/journal.pone.0124024	Division of Oral Physiology, Tohoku University, Graduate School of Dentistry, Sendai City, Miyagi, Japan; Liaison Center for Innovative Dentistry, Tohoku University, Graduate School of Dentistry, Sendai City, Miyagi, Japan; Tohoku University, Graduate School of Biomedical Engineering, Sendai City, Miyagi, Japan; Cell Resource Center for Biomedical Research, Institute of Development, Aging and Cancer, Tohoku University, Sendai City, Miyagi, Japan; Division of Oral Dysfunction Science, Tohoku University, Graduate School of Dentistry, Sendai City, Miyagi, Japan; Department of Physical Medicine and Rehabilitation, Tohoku University, Graduate School of Medicine, Sendai City, Miyagi, Japan; Institute of Fluid Science, Tohoku University, Sendai City, Miyagi, Japan; IFG Co., Ltd, Sendai City, Miyagi, Japan
10.1039/c4lc01440e	Karlsruhe Institute of Technology (KIT), Institute of Microstructure Technology (IMT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology (KIT), Institute for Nuclear Waste Disposal (INE), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.scitotenv.2015.01.046	Karlsruhe Institute of Technology (KIT)-Campus North, Institute of Functional Interfaces (IFG), Microbiology at Natural and Technical Interfaces Department, P.O. Box 3640, Karlsruhe, 76021, Germany; Zweckverband Landeswasserversorgung, Betriebs- und Forschungslaboratorium, Am Spitzigen Berg 1, Langenau, 89129, Germany
10.1038/nature14296	Institute for Methods and Instrumentation for Synchrotron Radiation Research, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Albert-Einstein-Strasse 15, Berlin, 12489, Germany; Institut für Physik und Astronomie, Universität Potsdam, Karl-Liebknecht-Strasse 24/25, Potsdam, 14476, Germany; Department of Physics, Stockholm University, AlbaNova University Center, Stockholm, 106 91, Sweden; IFG Structural Dynamics of (Bio)chemical Systems, Max Planck Institute for Biophysical Chemistry, Am Fassberg 11, Göttingen, 37077, Germany; Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, 2575 Sand Hill Road, Menlo Park, CA  94025, United States; PULSE Institute, SLAC National Accelerator Laboratory, Stanford University, Stanford, CA  94305, United States; Linac Coherent Light Source, SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States; MAX-Lab., PO Box 118, Lund, 221 00, Sweden; Department of Chemistry, Utrecht University, Universiteitsweg 99, Utrecht, 3584 CG, Netherlands; Institute for X-ray Physics, Göttingen University, Friedrich Hund Platz 1, Göttingen, 37077, Germany; Structural Dynamics of (Bio)chemical Systems, DESY, Notkestrasse 85, Hamburg, 22607, Germany; Paul Scherrer Institut, Villigen PSI, 5232, Switzerland; Swiss Light Source, Paul Scherrer Institut, Villigen PSI, 5232, Switzerland; Ultrafast Optical Processes Laboratory, Department of Chemistry, University of Pennsylvania, Philadelphia, PA  19104, United States
10.24084/repqj13.332	IFG’s Electrotechnics Department, The Federal Institute of Education, Science and Technology of Goiás (IFG), Goiânia Campus, Rua 75, n. 46, Centro, Goiânia, Goiás  CEP 75055-110, Brazil
10.24084/repqj13.322	Nucleus of Studies and Researches Experimental & Technological (NExT), Federal Institute of Goiás (IFG) Campus of GoianiaGoias  74900, Brazil
10.24084/repqj13.485	Department of Electrical Engineering, FEELT, Universidade Federal de Uberlândia, Campus of UberlândiaMinas Gerais, Brazil; Department of Industry, IFG, Instituto Federal de Goiás, Campus of ItumbiaraGoiás, Brazil
10.1007/s10273-015-1812-0	Lehrstuhl für Makroökonomie, Universität Freiburg/Schweiz, Bd. de Pérolles 90, G 424, Fribourg, 1700, Switzerland; Deutsches Institut für Wirtschaftsforschung, Mohrenstraße 58, Berlin, 10117, Germany; Institut für Gerontologie (IfG), Universität Vechta, Driverstrasse 23, Vechta, 49377, Germany; Zeppelin-LS f. Wirtschafts- u. Verkehrspolitik, Zeppelin Universität Friedrichshafen, Am Seemooser Horn 20 D, Friedrichshafen, 88045, Germany
10.1016/j.apsusc.2015.01.161	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1177/0731684415571433	UFRN-Postgraduate Program in Materials Science and Engineering, Campus Universitário, Lagoa Nova, Natal, Brazil; UFRN-Posgraduate Program in Mechanical Engineering, Technology Center, Natal and Federal Institute of Education, Science and Technology of Goiás-IFG, Brazil
10.1021/cm503908g	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg, 76344, Germany; Institute of Applied Materials (IAM), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg, 76344, Germany; Institute for Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg, 76344, Germany; Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg, 76344, Germany
10.1039/c5cc00694e	Institute of Organic Chemistry, Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Faculty of Sciences, Department of Chemistry, Ataturk University, Erzurum, 25240, Turkey; Institut für Funktionelle Grenzflächen (IFG), Karlsruher Institut für Technologie (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Laboratory of Inorganic Chemistry, University of Helsinki, P.O. Box 55, Helsinki, Fi-00014, Finland; Institute of Biological Interfaces 2 (IBG 2), Karlsruhe Institute of Technology (KIT), P.O. Box 3640, Karlsruhe, 76021, Germany; Institute of Toxicology and Genetics, Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1021/la505011j	Preparative Macromolecular Chemistry, Institut für Technische Chemie und Polymerchemie (ITPC), Karlsruhe Institute of Technology (KIT), Engesserstr. 18, Karlsruhe, 76128, Germany; Laboratory of Applied Chemistry, Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institut für Angewandte Materialien (IAM), Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institut für Biologische Grenzflächen (IBG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Applied Physics and Center for Functional Nanostructures (CFN), Karlsruhe Institute of Technology (KIT), Karlsruhe, 76128, Germany
10.1109/TLA.2015.7069107	Instituto Federal de Goiás (IFG), Itumbiara, Goiás, Brazil; Universidade Federal de Goiás (UFG), Goiânia, Goiás, Brazil
10.1371/journal.pone.0117300	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, Germany; Institute of Microstructure Technology (IMT), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, Germany
10.3389/fmats.2015.00007	Engineering and Science, Jacobs University Bremen, Bremen, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, Germany
10.1127/njgpa/2015/0461	Laboratorio de Paleontología, IFG-FCEIA, Universidad Nacional de Rosario, Pellegrini 250, Rosario, 2000, Argentina; Museo Provincial de Ciencias Naturales 'Prof. Dr. Juan Olsacher', Dirección General de Minería, Elena de Vega 472, Zapala, 8340, Argentina
10.1021/nl5041836	Institute of Toxicology and Genetics (ITG), Karlsruhe Institute of Technology, Karlsruhe, 76021, Germany; Department of Applied Physical Chemistry, Ruprecht-Karls-Universität Heidelberg, Heidelberg, 69120, Germany; School of Chemistry, Chemical Engineering, and Life Sciences, Wuhan University of Technology, Wuhan, 430070, China; Institut für Organische Chemie, Ruprecht-Karls-Universität Heidelberg, Heidelberg, 69120, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology, Karlsruhe, 76021, Germany; Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology, Karlsruhe, 76021, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology, Karlsruhe, 76021, Germany
10.1155/2015/538786	Institute of Anatomy, Faculty of Medicine, University of Zurich, Winterthurerstraß 190, Zurich, 8057, Switzerland; Department of Machine Design, Engineering Design and Product Development, Institute of Mechanical Engineering, Universitätsplatz 2, Magdeburg, 39106, Germany; Flow Cytometry Facility, University of Zurich, Winterthurerstraß 190, Zurich, 8057, Switzerland; German Aerospace Center, Space Agency, Königswinterer Straße 522-524, Bonn, 53227, Germany; Integrated Functional Genomics (IFG), University of Muenster, Roentgenstraß 21, Muenster, 48149, Germany; KEK GmbH, Kemberger Straße 5, Bad Schmiedeberg, 06905, Germany; University of Applied Science Jena, Carl-Zeiss-Promenade 2, Jena, 07745, Germany; Zurich Center for Integrative Human Physiology (ZIHP), University of Zurich, Winterthurerstraß 190, Zurich, 8057, Switzerland; Stud. Grp. Magdeburger Arbeitsgemeinschaft F. Forsch. Unter Raumfahrt- und Schwere., Otto-von-Guericke-University Magdeburg, Universitätsplatz 2, Magdeburg, 39106, Germany
